id,fecha_aproximada,contenido,cantidad_respuestas_aprox,comentarios_usuarios,compartidos,enlace,reacciones,sentimiento_contenido,prob_POS_contenido,prob_NEG_contenido,prob_NEU_contenido,sentimiento_comentarios
31,4 días,El globalismo no sólo usa a Gramsci. Usa también a Lenin: La violencia. Desde Los Ángeles hasta Bogotá,0,Gracias a Dios que los trolls de la oposición son estos! Pensantes todos,1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid02zKVmheGN4E3UrJo3CBbhDmocbZVSVx9em9vx8nyzhHbEc6bA8b6NSgi3qdNt6okFl?__cft__[0]=AZUlhci_z-_FZGJh9bwN4A-af3zboOfpw5-pI8rwJqbsewhA7MUkUaMjDJ2QZxvFjk2epPDDLSHSIUG14rVrxwKAj7by6mN2p7-BOmy7PX5hrPIRjKdcihdg7IBJ-KtTiVEZ1cp29rLeeW4a0M4mHGo8BPduoLnUIJ6ChsZFpSyB7o1j6EUeN-wv80ReQkt5LKs&__tn__=%2CO%2CP-R,,NEG,0.012684119865298271,0.8763046860694885,0.11101120710372925,NEG
32,4 días,"Escribí ""Colonialismo puro y duro""",0,Totalmente de acuerdo,3 veces compartido,https://www.facebook.com/evargaspena/videos/1246178410628477/?__cft__[0]=AZUNPQ2gNt9y5Iak2gr1seke3Qz9q-zyWy8_toadJN4LOQSHmOR0aAodixiTXwFOLqc40GlkKKNePvPVYUK4aS8VPUyKMgi1Z5MyOonJV4UlrCtjE2gyaEMVPxt6_iwOWXp_F503IGSek8lCbcUHUO4oiDM5mKyQT5TElkGj_R_s4_y3FRtxqGeZoyWCUf_D29lj-AcL18kbSpMA-JtOjSoT&__tn__=%2CO%2CP-R,,NEG,0.047830890864133835,0.5250150561332703,0.427154004573822,NEU
33,5 días,De falacia en falacia los globalistas: Expulsar a un embajador no es romper relaciones. ¿Por qué mienten? ¿Porque quieren proteger a sus jefes? Si un embajador viola las convenciones debe ser expulsado.¿O las convenciones están de adorno? ¿Se hicieron al pedo?,5,"Que tavy que somos, nos preocupamos por lo que dice EVP, nosotros los tavy no podemos ir a buscar en los papeles para saber cómo los corruptos manejan nuestro país..pero siii, nos consta que ahora hay mucha hambruna, todos caros ,TODOS,gas ,verduras, c…",5 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid02GH44SUYVRJ6EwRHcHxsFDEqhC8ZrWwE11FYrMstQPg5BJBfR65xDVDCq1KouMMMTl?__cft__[0]=AZXS5Tckgxm2_jxzowAateiECflwmy4oxLUYAnBPzluCzWpy1RcsH7AK-yraobxOCsrt-8JSw02g0rHJzgGKOGtcgNUtOr3LvU8mmWo5edojLQJD8XtEa1kqIZKCVIiYtos-z7-g8uYnEFDI3wGcHLB1C5RjVgkfgqDi4VwXP8dU7dp_vRY8Lel_NRimtKUGdtQ&__tn__=%2CO%2CP-R,41.0,NEG,0.00385776674374938,0.9526309370994568,0.043511342257261276,NEG
34,6 días,"Restablezcan la hora astronómica carajo!! Hagan yoga sin joder a los comunes, la puta!! Respeten a la ciencia",21,La ciencia te dice que en invierno el solticio es de corta duracion en el dia,4 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid0W2qKrx9CkVM5FuuNp4MofezCQa7JGp3ErgiQy2RjEExKqufwLJEQMJP4RH9axqzGl?__cft__[0]=AZXHrLcm0130kT8rGFLi_t1KanTJDoBm68GUaba2bbGEzZOG6TnP-e-Gx7XZDDM1uqgCNXB6ZV3ykXFc_OaoolfgmrIHT4n9jLpgoc4oQ54-se3xxxfDkTRPtgkRQiCL0cbp0YjG-ZZa2uQR92PD0gqwTYvwyLCjwFTLEPB9MO8ESNnuDvLNlJtCAJ20EJyD1hT339Zp-W-A5iBg1jC2gQ85&__tn__=%2CO%2CP-R,25.0,NEG,0.13461774587631226,0.4629274308681488,0.4024547338485718,NEU
35,5 de junio a las 7:14 am,"Ing Esteban Cabrera, distribución @ANDEOficial, admite, en la 7.30 AM ABC Cardinal, Paraguay, que no puede decir a qué hora se repondrá servicio de energía interrumpido en zonas de Asunción porque instalaron cableado subterraneo sin equipo de monitoreo que recién ahora se licita",2,Y por la INDIA COMO ESTÁ LA COSA???,4 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid0HMrFazmxpnuKWoAsPnmDW5MHE1iAeEjDT5fuHcLKaNB99t6T3npGf5zwACA4AMAQl?__cft__[0]=AZUcvvpO0rbrJ1vbbvRqP724yukS7dC2YG8FkHPdsqJ58s4x_Hh4dqALIEJHTgKOkDTmT_rzy-4Pizh-98L8Tw_w6J-fmtqJ75sLQXGPwxIdjQIzrIkbUxRt6u5uMOJpBVSMW4ze1b_QAb7e9jF5Y05cixnjQbp4AtgTNleIipom5awiTFYRaC77Xn3woz3SGI4&__tn__=%2CO%2CP-R,4.0,NEG,0.008912153542041779,0.7473300099372864,0.24375781416893005,NEU
36,5 de junio a las 7:01 am,"Presidente de Consejo Salario Mínimo, Enrique Galeano, @MTESS_PY, asume, en la 7.30 AM ABC Cardinal, Paraguay, que ellos también están disconformes con el modo en que la ley integra el Consejo ni con alguna de las recomendaciones de la @OITnoticias",0,"Ste pte dl consejo d salarios minimos y las centrales obreras stan confabulados,no puede ser  ac años siempre es un 100mil d mierda sube el salario mientras,la canasta fliar y dmas,luz,agua,impuestos,pasaj3s,todo sube 20 vec3s maas.......",1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid02SqcVA1DGoWQu15yjzHau9NebPxos1eAcHidQcSf9uhr5oZfKSEuiGgsjwPMGutMjl?__cft__[0]=AZWVLh63-TN9KVn09ssOo4ePV76X8zJ9Aj4DAIFvtgvnf7PysV43Z24IzJF_WYMrXehvJ3Rir4GMJl0G1kSY6PEe6hUubXzBSKrKYSpBKwz07QhFLrqnjqvkQtEQ-yv4SP__EHm40YvSQGe-PfSlvzep25I0oLvu4jhTePAhiK9l5X2yB2Wc4RlsRywYFa7zTqs&__tn__=%2CO%2CP-R,2.0,NEG,0.03278143331408501,0.5723469257354736,0.39487168192863464,NEG
37,5 de junio a las 6:53 am,"Presidente de Consejo Salario Mínimo, Enrique Galeano, @MTESS_PY, explica, en la 7.30 AM ABC Cardinal, Paraguay, que subir el salario mínimo en julio genera una indexación de la economía que impacta negativamente. Y aclara que se trabaja en desindexar el salario",0,"Como se entiende, no hay inflación, pero el costo de los productos ya subieron más del 60% una locura, el gobierno alega que si no hay inflación, no puede  subir tanto el salario mínimo, por que el poder adquisitivo  es mas que suficiente,para vivir bi…",1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid02UMJryyuQ8JFdUxHwphMGH73tEaYTZuawdcQpzKoDBhvimvN6q6aWKx9JVTRD2zp3l?__cft__[0]=AZUPNtSmn6BCLtZhgYFeF5MsB9x_nt7qXPprGjtWNU6QCCAMdWRH899WhiRfby0BVv54TcBLGoyJzQvFAzO-F6RO-LoXSNKQFCFuoxPxL3e0wugKKUl-HnzXW27lk6hY1obWRIj2QK-Sri8cW_DBkCMMDZ-ZREUXgfQBd5sJlFQAMfkkWfazzLuMzGe_xby-6b4&__tn__=%2CO%2CP-R,4.0,NEG,0.027315396815538406,0.685344934463501,0.2873396873474121,NEG
38,5 de junio a las 6:45 am,"Presidente de Consejo Salario Mínimo, Enrique Galeano, @MTESS_PY, admite, en la 7.30 AM ABC Cardinal, Paraguay, que subir el salario mínimo en julio perjudicará a alrededor del 90% (""efecto rebote"") y admite que computan como ""salario mínimo"" a los contratos de tiempo variable",0,Y adonde están las centrales obrera de nuestro país para estos casos que lo primero que tenía que presentar las protestas a favor de los trabajadores desaparecieron todos de la mapa,1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid02YoYSp2kGbqPdWFmsNkMuAdZ9iDLQUL5XLFaEa6ukBYv8gjTzX7ZbCRANNb8ppHcl?__cft__[0]=AZUt1ZEgNYUrQu_D-TkX_co_Q1LL7tHFwtAoj-g4KKSpDe7kNUzxkprWVsGwXPC65c9U2Xkl8c0fGYcBMWGEl7bCz3keUYtX66k_C9snG-5cpMs_gW3VToIVOP10soLnquASRpVKIOPjCchoVbTbxisy8snHgvpTY7iHzQMnpZc7MrhXjGCU8TvvFE-Jx6N-B-k&__tn__=%2CO%2CP-R,,NEU,0.0397828035056591,0.3437720835208893,0.6164451241493225,NEG
39,5 de junio a las 5:21 am,"Hola, hasta las 08:00 estoy en 7.30 AM ABC Cardinal, Paraguay. Deportes con Ariel Julian Marecos",0,,,https://www.facebook.com/evargaspena/videos/703689059199687/?__cft__[0]=AZXX3mdnhn_Ft4QJpR9DRW3-D1lB9TW6Y_KRVh37jjdTpuphX2RwFIcBGg7HGcHMVMTo11nhdFmQxzNyPTwlVOl14qlpy-IwKFm-7gWto7WOMJdrPTeLUU5mPlqb-lRhxmaHrCGC5anEs8jjRabcMifbu0lz0YWWWzNWBmQTSkn5GQq8OLLQ-w_bpTz37t1KJjzMaua26olaOPNc9DUzwNkv&__tn__=%2CO%2CP-R,,NEU,0.21240070462226868,0.031092524528503418,0.7565068006515503,SIN_COMENTARIO
40,5 de junio a las 3:46 am,"Anoche hablamos con @bachinunezpy, presidente del Congreso y de @SenadoresPy, sobre recusación de dos integrantes de la Corte (@PoderJudicialPY) en el caso @KattyaGonzalez9 y con el senador @DerlisMaidanaPy sobre ley de búsqueda de desaparecidos",0,,,https://www.facebook.com/evargaspena/videos/1639993223345441/?__cft__[0]=AZVa-JpxYi2JWk9aN5szfLTquuCgWS8dayau02DfL32V-P7TRJcjILokyVBvrzXxg_sw-GrhyEC7uUDDQzqcTabwuzbMfnybBKpU_dFyna-5iN4RiF9KRaZqKxRBU_X2fgKwOgKK7277tgpcCKSMQv7Tn3JNwogabCXFhLxS-xk0FrCLfPJrHy0dgv7bYQn2qfrYFNwTBjGiqgAjUKNRmH65&__tn__=%2CO%2CP-R,,NEU,0.12170249223709106,0.24479064345359802,0.6335068345069885,SIN_COMENTARIO
41,4 de junio a las 8:03 pm,"A partir de las 20 horas estoy en ABCTV, en ""Mesa"", canales 19 de TigoStar y 3 de Personal tv. Mañana hay fútbol y no ""Mesa"", aviso ya",0,"Uno de tus  jefes, pobre infeliz",,https://www.facebook.com/evargaspena/videos/688026717352570/?__cft__[0]=AZWrQoMvdBXY5R43I8fnDSbzqjSQ0LmEPfoGmBg9ij0wxwKxi1ntL7XvU79xwk9NEJgoU1Anw2hGd74NIcsifQ1fWJ4Csx_voRPjUQkNEJCognqsqZYoEYWCap_azVqcdd7r-teoqlFm-BQ9Y_hOqWkFa7BV6VbjpgG9QeL9uaJcEg51DYZeMB4G3--6yrHlN7nQCp3z4JPvOwtDZOMRKDtQ&__tn__=%2CO%2CP-R,,NEU,0.10831589996814728,0.05005756765604019,0.8416264653205872,NEG
42,4 de junio a las 7:21 pm,Los crsitianos empezaron a matarse entre ellos muy temprano. Los demás creyeron que era una debilidad. Sin embargo era signo de la poderosa vitalidad interna que les permitió conquistar el mundo,0,"Que pena la gente no entiende que Dios ama a TODOS sus hijos!! Dejemos el fanatismo a un lado!! El Dios de Jesús es el Dios de todos aquellos que deseamos seguirlo, y como un Padre Misericordioso no hace diferencias, respeta nuestra libertad!!!!",1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid0sLKyXjTZPrpQvbe9R99pr7ztGRuSSKNPXUcsZ19owUZaByLo7zZ36Kqzix2VwF8Wl?__cft__[0]=AZUBColwd_VFl46RJKfk-9wHWkgdpN5H3154hXuQKjLKSsHG3vmcdg3FZua6tNzMcSALjVNP_EAS8Dvj38MN-mmabUp0HDEnq9CpRxihU9OPXDWSadhco2YarAHJso0fsN1AkFw7hJW7YAsGIHhanTqDA2Ogggol3hMAK_SlIvfKMSJ_Cqyh-K4IC1RLhIM8B3M&__tn__=%2CO%2CP-R,3.0,POS,0.46551209688186646,0.0889357328414917,0.4455522298812866,NEG
43,4 de junio a las 5:44 pm,"Desde las 17 y hasta las 19 seguimos con @figuejuanma en la 98.5 ABC FM, sólo  éxitos",0,"Juanma , duro trabajo tenes",,https://www.facebook.com/evargaspena/posts/pfbid0gwbbqD5PitYqB3SDhKbqX6utDNVQHYyoRD6kGFk1FSsDZ7b9YAB6w21nzA7b3ZL3l?__cft__[0]=AZW1wPKAehM1p9KR5lUqM74-fVPcahIWtFm71J4_ilFlhn8C77eMeMSFF4oAaDD_GFp2UZYZaY4a-Od8J3JGutyJPB_UYm20wsdKoS6qLhxDhxvEM6eO7buLDlPd0Co_ZxhAlut2BFsSvWSRl3BzkjI_pbYMPhlXgpmL_TYN3NY62J7RFq0ffstrYbu1ZYjSf9doP1NK_KR62BO_3QotdE_V&__tn__=%2CO%2CP-R,,POS,0.48317578434944153,0.039908383041620255,0.4769159257411957,NEG
44,4 de junio a las 3:53 pm,Novedades políticas importantes,0,Nos enchufaron leyes wooke desde el 92,6 veces compartido,https://www.facebook.com/evargaspena/videos/1388267402457370/?__cft__[0]=AZUUkdqQM4iHf9jFCiqhjCPnogae7GbleTgNfX5v8ehVJj0NhU0JOXNORZg-IO2fvlXVBm48SefYyoklBBuNHZc_HJ8CHA-HeFfYo52rojHoYjvvc22hn48kr7BZBfXJrdpId3a-YF5hLBPqhR6LrOJ5rwLtYGcMtRVdYodFOD8EU77TcdzvCrXiHelEMZbzJ076MaEnj93Adu3sAUyJXc42&__tn__=%2CO%2CP-R,,NEU,0.4338667392730713,0.04797108471393585,0.5181620717048645,NEG
45,4 de junio a las 7:53 am,"Fiscal Fermín Segovia, caso Fernanda Benítez, confirma además, en la 7.30 AM ABC Cardinal, Paraguay, que hay indicios que muestran que supuesto victimario ya había incurrido antes en conductas similares a las que se repitieron con Fernanda",3,35 años de cárcel más 10 años de seguridad,2 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid01D9xhx463DfnZbD66Kqvxvg89j4vJUTdR8p9DRNpsDRY6niFPDLqBtTjoGzH9bUkl?__cft__[0]=AZUKz4wTfn8YrFcOMpEm5oNTuBgb3se6MbjRDR6i7wOpYmFf7Zybk-O059pEIdlQnEhJnkEcP00T3eSofsAnvcbiCT5lsCTO6Dpcg-tn2mZOTbOoE-0QicBwc-b2g1bFE14tRROws5YaWOpGJj-5IkTWjb0TeWNBZN3FtC59vZXPbW66clEa4-zGa6i4ONzuQfU&__tn__=%2CO%2CP-R,6.0,NEU,0.04828191548585892,0.3652716875076294,0.5864464640617371,NEU
46,4 de junio a las 7:50 am,Hora astronómica: La que surge de la observación de los solsticios de invierno y verano,0,Calladitos los que pensaban que con el reloj podrian manejar los fenómenos naturales!!,2 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid033m2JegXWMAWiXJWg86kLD4hXYWWntNCavK7LLQFuJ9P4JjVDsHKUPSttMz2MLkpdl?__cft__[0]=AZWVuXhBCylf910GKU42yOHqH_YLVBgqx14bK4W9jxCAnEhklC5_0wsXa_ufsBR_v4Aa0PhtDzz607HN0CBT_Orq03WXugudCq6tjDCPZUPsopyUCPfJvDUeHb_9gi2qn0JKL28w5GtvithlNTEkZaOAjPCy676k8mZA-C8HgELdsvlglj2qFKn7u38gkPjuBCE&__tn__=%2CO%2CP-R,2.0,NEU,0.15266944468021393,0.030752677470445633,0.8165778517723083,NEG
47,4 de junio a las 7:41 am,"Fiscal Fermín Segovia, caso Fernanda Benítez, confirma, en la 7.30 AM ABC Cardinal, Paraguay, que tienen ya evidencias técnicas acerca de que Fernanda llegó con vida a casa de los padres de su supuesto victimario. Explica que calificación de ""feminicidio"" es provisoria",0,"Enrique te estuve escuchando y tenes toda la razón, el tipo penal al que se adecua la conducta es el de homicidio doloso y no feminicidio",3 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid0ZQyYpBHXwaK3PfCTXbXQ35z5bkgNfkrD3ytMVSmHCeQyinTGhFyke3sKbSVKwaRyl?__cft__[0]=AZXMVyxHKIXy3JDc923iS1poGomHbsSrXTtW_PxMw1CW9FgyhmJjenZIs37Kfk3YtjSPK04C3DoFR8X4RNvtE0bfkXISXp8F_ReEBDGzor7hv6uuXLQItSOzfvYqmtddaLXxYR7vQD2TE149XTiMdaLh7mfKELjZBxW47ryQeYpYNMFvEppO_IZkyRmMzvlL1p0&__tn__=%2CO%2CP-R,7.0,NEU,0.04456508904695511,0.38494762778282166,0.5704872608184814,NEU
48,4 de junio a las 7:18 am,Vuelvan a la hora astronómica CARAJO!!,0,"Este horario es genial, cuestión de acostumbrarse nada más. Ahora cuesta, el próximo año nos vamos a quejar de otro tema",1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid0212n8SEpEaA8B4qjvWM9kgtHe7hbgWsKP6DDyH3Nvp46g8RJunJcAehmfWgUY4x9rl?__cft__[0]=AZWqZmjPsqZAiNEshN4nl9RFxyISQ0zDcCgMpROXbZ1vF59uCtq1L4kpJU3-UCY0TjxtoJf5pNyTgoJ6hHXMFDk-V8AVH9VSXB9hqAi6QW-YQyga3Rhwc3_MTEMw9vwkSiBegBw7xTOdAMRP22pN7Nebb7kwt53jiN_c1_If2UIHhmZ1rekrxCgdZgyZscyYcgpC8D-f35pY02B0oj7hp44j&__tn__=%2CO%2CP-R,13.0,NEU,0.3511751592159271,0.16440589725971222,0.4844188690185547,NEU
49,4 de junio a las 7:14 am,"Diputado @JorgeAvalosDip sostiene, en la 7.30 AM ABC Cardinal, Paraguay, que @contraloriapy tiene facultad para solicitar a Poder Ejecutivo intervención de municipios de acuerdo a Art. 165 inc 3 de nuestra Constitución. Recuerda que él fue por años funcionario de @contraloriapy",0,,,https://www.facebook.com/evargaspena/posts/pfbid0cMnC5v3x5AE1oGkCUKy9FzZfpeYvaW4HtrVc8nhSWWTLFNcTdQP91keT3FDVEXdil?__cft__[0]=AZURUpwCHheA96Ew6igTSmDgfPNVW6FyfSI2l5ok6-xRyw5fp1aiq1dgYnoVkaQlRTPaQnvt9nMYl35BlK8HJTcDhNktp3RXMR3sikqLP1SHldlNlgkBBsnM-6vP3QrjTHL9nDzLJ9X4qzGXRey8TXPUWft-qCdZEBXLdndNAZmiOEJuFhVs3OMcEyszhFElo5Q&__tn__=%2CO%2CP-R,,NEU,0.0902041345834732,0.14347931742668152,0.7663165926933289,SIN_COMENTARIO
50,4 de junio a las 7:03 am,"Diputado @JorgeAvalosDip reafirma, en la 7.30 AM ABC Cardinal, Paraguay, su acuerdo con @RocioVallejoA en los beneficios de participar en comisión de @DiputadosPy para intervenir la @AsuncionMuni pero se niega a criticar a sus correligionarios que boicotearon a la comisión",0,,,https://www.facebook.com/evargaspena/posts/pfbid0H5uV8eDy84psK4pr745gGwR8aHgfXudWA65fYAq6gcJJocoWPzsvFBNkuqcutLhil?__cft__[0]=AZUpLtF3gOGo_yO9i0ZxYwNesQvI2e7vT6yrz67ZD37JndaPIvMYWAlBysoL0Y-bLtg95lWDHu0HnWyIvgG_u6jXrVf8cG2yTFy3FgE8GLgdat4XvuYJBEBxjAtfk0vx33blYcvIbnu1nkLRUga7nLmA23DUlTKfqppfFsQPMFU6bJHS4fwU9mD40jVmkKieJxA&__tn__=%2CO%2CP-R,,NEU,0.06177939474582672,0.36835160851478577,0.5698689818382263,SIN_COMENTARIO
51,4 de junio a las 5:24 am,"Hola, hasta las 08:00 estoy en 7.30 AM ABC Cardinal, Paraguay. Deportes con Ariel Julian Marecos",12,No es estudiante de medicina. Estás inventando. Ni siquiera empezó la carrera. Dijo lo que todos sabemos de ver tele,13 veces compartido,https://www.facebook.com/evargaspena/videos/717324687476953/?__cft__[0]=AZVlhqmLDJ55KvcZkF0c1QWsGxVGGLeIp0Vk2JlKOt9B2dJNrIkLun8RpArY9SFAEMhE8_bsnWqRYDk2KsRHjNpZi4QdaX5J0GoC7poxx87D-Oa58uhe-m9Z_PqjLeJR2DDYvN1-B0Tn0RayXMQWs9czujFEJT2VvmrM8-uio6p64ASpon1eGLL-yggMRcSEJqVXE0Ni5WYrPGymNzbMNcQe&__tn__=%2CO%2CP-R,10.0,NEU,0.21240070462226868,0.031092524528503418,0.7565068006515503,NEG
52,4 de junio a las 4:10 am,"Anoche hablamos con @oscartuma sobre imputabilidad de adolescentes, caso de Fernanda. No sé por qué cortaron lo hablado de inconstitucional ley 5777. El senador @zacariasirun al final no nos atendió sobre búsqueda de desaparecidos. Ministro Jalil Rachid, @Senad_py, sobre Marset",0,Ya nomas se debe analizar y salir del tratado y convenio internacional. Y plantear una ley acorde a la realidad paraguaya. El Paraguay es libre e independiente!,1 vez compartido,https://www.facebook.com/evargaspena/videos/678434064961458/?__cft__[0]=AZX3Ukr6KeevydFRYHm-4snhFa10ZJ6MLAEZtp_TP_n7XhWPQCKakhYrER8xbfKq5u-_YIeiO_k7boV1RCZeI7A6hiKZvfVsp0h7mn2zlgvwt64_s47DpCe5uwXqmi6pJVKIx6ENuS8wX9QzmqDY2NIoAnUOJw2TMrQL8afjSTKBrAkgGUZT71mmf0O8oIGZATzeelQgWu6K-HbWstG0GSWl&__tn__=%2CO%2CP-R,2.0,NEG,0.006581062451004982,0.8517425656318665,0.1416764110326767,NEU
53,3 de junio a las 7:53 pm,"A partir de las 20 horas estoy en ABCTV, en ""Mesa"", canales 19 de TigoStar y 3 de Personal tv",0,Vargas peña me pregunto por qué estás callado ante este problema grave sobre Control facial eso es para completo control de los globalistas aún estando en tu cajón te harán la métrica facial para detectarte y para saber que estás sentado en tu casa o e…,1 vez compartido,https://www.facebook.com/evargaspena/videos/710433445278399/?__cft__[0]=AZVCHP6j6n_WZ8JdetBy2vXXU3yStNPUVpcfadCMMNdH_MIz5RycuQOYhUhG1QwM2uxbSKojAdlD7bc0kjK5lWR2G7kVODXG1FPlx2TqkF95Xjq4bnW9Mxe6ILf_GkW7mBwjQBpzkMOD9IlENjZGye12PWYulKj3emLz9K85b84sBfRBMtiBAVmZTrid3OlB2ed3ag0DaM51dbsEqpY1ig9X&__tn__=%2CO%2CP-R,,NEU,0.15050607919692993,0.04011036828160286,0.8093835115432739,NEG
54,3 de junio a las 6:24 pm,"Desde las 17 y hasta las 19 seguimos con @figuejuanma en la 98.5 ABC FM, sólo  éxitos",0,Na apenas pende enrique,,https://www.facebook.com/evargaspena/posts/pfbid0JhcC9J9VpnfYZ6aodkBDKgKBtpcXTrLZsEnGnP3s2NqZviGKEgPEDcieeK7c8LVEl?__cft__[0]=AZUbAy-mzK4G94DqxMJlat0U7C_YHSeQyzC6KqXSC2qK9tQtJwU2o-yUbmRIxUjK9vwploOC5u4hppvujzdZ45KiT-ZTK-Onfxp81qh8360R8fDQn2VWSGQEaAw9guGplw4YdGLuxsR7cjnCrMA3GR3HKsPp5bWexpnAvU0_B9ww_0B7b-pbi4YqphR06S28UCsfrQTDdQ3EAMgA1vrzVQnh&__tn__=%2CO%2CP-R,,POS,0.48317578434944153,0.039908383041620255,0.4769159257411957,NEG
55,3 de junio a las 4:19 pm,Reflexión sobre los síntomas de los problemas,0,Hola,8 veces compartido,https://www.facebook.com/evargaspena/videos/1023006673144423/?__cft__[0]=AZVuVW6DRHm_TNxLn0cSfXfGVTjN2xfVfKoyHwCwm_SCFC597yexIK79hVgbToE5E5Wzbfou17cxNRQoIoxeKjyyZtNEj05FY-aaGWvpDeRrUhQXWEeomnfygQHm5xyi1UFBYsuBsMxq-pGdgFXN39xnzHpj0NBy9ZKT2AUY53mUe9ZxlKgxTvZJ7E6QY8Ya_1Eq6Gtc6p1EinLKabBXPBzM&__tn__=%2CO%2CP-R,,NEU,0.0771918073296547,0.3528237044811249,0.5699844360351562,NEU
56,3 de junio a las 3:38 pm,"Vicemin de Energía @MauriBejarano, @mopcparaguay, coincidió, esta mañana en LPM por la 7.30 AM ABC Cardinal, Paraguay, en que urge el acuerdo del gasoducto de Vaca Muerta con Argentina y Brasil porque las energías ""limpias"" no son seguras",0,"Las energías limpias son seguras en comparación con las fuentes tradicionales, siempre que se diseñen e implementen correctamente. Como cualquier tecnología, no están exentas de riesgos, pero estos son menores, más controlables y menos dañinos que los …",1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid0qwJ1VMSnYfg9ZfEMhpxtqQHpUzhts3PwTN9JRLztfTLZuSoLurMpLySRVECxMLTrl?__cft__[0]=AZVcwtRstaC8GNLTHv6XMwcKopm4YQjhVTjsZ35uLOFVEfKMHlQ7-SJd49v1Rzr6CFh5lXmnxbtgtdIxxgoSzw7pYIqUsu2M14WKrTENJEFftdqPXmF9HtRgSTj7SAcjdc-xGzi5zzOFbSh2eJurjW64CNHxiUtq-3qjnoVmq3UgrjrUJfrGqb_JzES5nrsUJ6A&__tn__=%2CO%2CP-R,,NEG,0.016176637262105942,0.7814174294471741,0.2024059295654297,NEU
57,3 de junio a las 7:33 am,"Comisaria Lucía Ávalos, Dpto Desapariciones @policia_py, precisa, en la 7.30 AM ABC Cardinal, Paraguay, que tiene 17 efectivos y que no asignan detectives por caso. Agrega que no todos están siempre. Le digo que eso explica por qué tienen que esperar que se les avise",0,,2 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid02Gvd28CAxnApLH5PSjStyKMYVeNjU2VhE1ntWZTkgwjT4GW2YS8psFWKHp2n6QRthl?__cft__[0]=AZVXk3Dd20NMDmHdY4YK7CvmZDJ9LU-IbGZvrh-3iO57Xj3mU42-eBQogbYez24JBy72XRqFbbI5qcgbBHPbqRr-R-nhXWVNjdB0c2l0hJkdAV90oxQ5NoaiHBxuNRS7HArfgqoqtbCN15XdkizhRq0bukQ6WP9pEPKtjSqnxqHCwAPBW6okgwLYbAtAYPZGhcw&__tn__=%2CO%2CP-R,,NEG,0.012252303771674633,0.6261858940124512,0.3615618348121643,SIN_COMENTARIO
58,3 de junio a las 7:22 am,"Comisaria Lucía Ávalos, Dpto Desapariciones @policia_py, admite, en la 7.30 AM ABC Cardinal, Paraguay, que de 900 denuncias de desapariciones producidas de mayo 24 a mayo 25, unas 450 están pendientes de resolución ""porque los denunciantes no llaman a actualizar la situación""",0,"Hay que decirle a ese comisario que ellos, las autoridades, deben estar en constante comunicación con las personas que reportaron una desaparición para cerciorarse si apareció, no es tan difícil…",1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid027wabL2h7guEEEGxYGAj743z7Z4JR6WqkopDEUcwVfmDiB2cgMRj9vvmNjJZLiMnSl?__cft__[0]=AZUVKcF_I9PdGpwbSAuXgaoVl4Privlcx5IhgC2A8opWCNIB0evYhLsemVALEP9ad_Qa3zEX8Rv1wwXGsKkSHx-8SCgZuh_bqIAEtJ5KOTOIiEP0jf69mSH6SyNegFsrPlXkkumeXwdGJtm7gdP9kXbc97QEPJXohMNWnV7YXcjEmN8NqWsPv_8H2Sho_2nJZ_c&__tn__=%2CO%2CP-R,,NEG,0.012491673231124878,0.700259804725647,0.28724855184555054,NEU
59,3 de junio a las 7:02 am,"Dip @RocioVallejoA critica, en la 7.30 AM ABC Cardinal, Paraguay, que algunos liberales se hayan negado a integrar comisión de @DiputadosPy sobre intervención de @AsuncionMuni con el objeto de deslegitimar el proceso: ""El resultado es dejar a los colorados solos como única voz""",0,"Estrategia de mala fé, nadie de estos liberales quiere avalar y ser testigo de la corrupción imperante en la comuna, quedarían al descubierto el encubrimiento que estaban haciendo.... después saldrán a decir que los que revisaron plantaron pruebas para…",,https://www.facebook.com/evargaspena/posts/pfbid0KacFuwcFNSnfbkFnPjkTCdbdzJJK7Dqg5e7FMeiZc3n19cZn3DwijvTJLQDK89Hql?__cft__[0]=AZV6ovKGv9LPgOF46bAKwWRwEthwNTwAepoo7nxa-LrydmqPtEiarK0KwFA9GqURQr3uJYqWLHQcLONIXv1YFmla8qFTrKEVtkGEp5a3uiovtdokcYJ4tlLHI0-YmPSuz8lW1m30wMfFLhoFICwotOhFyXqX_qL72sy2SLsfJwvPh154vIogKn7xlU5tVIw00JI&__tn__=%2CO%2CP-R,,NEG,0.005445076618343592,0.9173455834388733,0.07720930129289627,NEG
